Cluster Number	Category	p-value	Raw Pvalue	Enrichment factor	Gene IDs
1	regulation of cell motility - GO:2000145	0.001	3.68553041852479E-13	NaN	[6351, 6373, 6352, 6374, 6354, 7124, 6357, 6356, 2921, 2920, 3576, 6348, 6347, 6369, 4283, 5473, 729230, 6346, 1230, 7291, 2833, 2113, 2919, 10563, 10344, 3627]
1	signal transduction - GO:0007165	0.001	4.2276594851624034E-13	NaN	[6351, 6373, 4790, 6352, 6374, 4791, 6355, 4792, 6354, 4793, 7124, 6357, 6356, 79155, 2921, 1237, 2920, 3579, 1234, 3577, 10616, 3576, 1232, 6348, 6347, 6369, 4283, 6361, 5473, 729230, 5970, 6346, 5971, 7852, 1230, 6360, 2833, 1326, 643, 2532, 6359, 2919, 6358, 8517, 10563, 5966, 10344, 3627]
1	cellular ion homeostasis - GO:0006873	0.001	4.2874591973376537E-13	NaN	[6373, 4283, 6352, 6355, 729230, 6354, 6346, 6357, 6356, 7852, 1230, 2833, 1237, 1234, 1232, 6359, 6348, 6358, 10563, 3627]
1	extracellular space - GO:0005615	0.001	5.372791656065097E-13	NaN	[6351, 6373, 6352, 6374, 6355, 6354, 7124, 6357, 6356, 2921, 2920, 3576, 6348, 6347, 6369, 4283, 6361, 5473, 6346, 6360, 6359, 2919, 6358, 10563, 10344, 3627]
1	signaling - GO:0023052	0.001	1.8399244897966685E-12	NaN	[6351, 6373, 4790, 6352, 6374, 4791, 6355, 4792, 6354, 4793, 7124, 6357, 6356, 79155, 2921, 1237, 2920, 3579, 1234, 3577, 10616, 3576, 1232, 6348, 6347, 6369, 4283, 6361, 5473, 729230, 5970, 6346, 5971, 7852, 1230, 6360, 2833, 1326, 643, 2532, 6359, 2919, 6358, 8517, 10563, 5966, 10344, 3627]
1	T cell chemotaxis - GO:0010818	0.001	2.27352639182341E-12	NaN	[6373, 4283, 2833, 729230, 6348, 10344, 3627]
1	regulation of lymphocyte chemotaxis - GO:1901623	0.001	1.1781484060029236E-11	NaN	[6351, 6352, 729230, 6354, 6348, 6347, 10563, 3627]
1	I-kappaB/NF-kappaB complex - GO:0033256	0.001	1.8962692388100007E-11	NaN	[4790, 4791, 4792, 5970, 5971, 5966]
1	regulation of immune system process - GO:0002682	0.001	4.311218160437425E-11	NaN	[6351, 6373, 4790, 6352, 6374, 4792, 6354, 7124, 6357, 79155, 2921, 2920, 10616, 3576, 6348, 6347, 6369, 4283, 5473, 729230, 5970, 6346, 5971, 1230, 2833, 1326, 2113, 2919, 8517, 10563, 3627]
1	G-protein coupled peptide receptor activity - GO:0008528	0.001	5.940185399703668E-11	NaN	[2833, 1237, 3579, 729230, 1234, 643, 3577, 1232, 7852, 1230]
1	cellular homeostasis - GO:0019725	0.001	6.345999009812872E-11	NaN	[6373, 4283, 6352, 6355, 729230, 6354, 6346, 6357, 6356, 7852, 1230, 2833, 1237, 1234, 1232, 6359, 6348, 6347, 6358, 10563, 3627]
1	innate immune response - GO:0045087	0.001	1.6184526572382283E-10	NaN	[6351, 6361, 4790, 6352, 4791, 6355, 6354, 6346, 6357, 5971, 6356, 6360, 6359, 6348, 6347, 6369, 6358, 8517, 5966, 10344]
1	chemokine binding - GO:0019956	0.001	1.6203170427400005E-10	NaN	[2833, 3579, 1234, 3577, 2532, 1232, 7852, 1230]
1	eosinophil migration - GO:0072677	0.001	5.146358070137259E-10	NaN	[6352, 6354, 6357, 6356, 6348, 6369]
1	eosinophil chemotaxis - GO:0048245	0.001	5.146358070137259E-10	NaN	[6352, 6354, 6357, 6356, 6348, 6369]
1	cellular response to stimulus - GO:0051716	0.001	5.301515066784578E-10	NaN	[6351, 6352, 6355, 6354, 7124, 6357, 6356, 10616, 6348, 6347, 6361, 5473, 729230, 7852, 1230, 7291, 6360, 2833, 643, 2113, 6359, 2919, 6358, 10344, 6373, 4790, 6374, 4791, 4792, 4793, 79155, 2921, 1237, 2920, 3579, 1234, 3577, 3576, 1232, 6369, 4283, 5970, 6346, 5971, 1326, 2532, 8517, 10563, 5966, 3627]
1	response to lipid - GO:0033993	0.001	6.256046959640031E-10	NaN	[6373, 4283, 4790, 6352, 5473, 6374, 4791, 4792, 4793, 5970, 7124, 6346, 6357, 79155, 2921, 2920, 1234, 3576, 2113, 6348, 2919, 6347, 10563, 3627]
1	receptor binding - GO:0005102	0.001	8.079788636830896E-10	NaN	[6351, 6373, 6352, 6374, 6355, 6354, 7124, 6357, 6356, 2921, 2920, 3576, 6348, 6347, 6369, 4283, 6361, 5473, 729230, 6346, 6360, 2114, 6359, 2919, 6358, 8517, 10563, 10344, 3627]
1	regulation of cytosolic calcium ion concentration - GO:0051480	0.001	1.1463045071179994E-9	NaN	[6373, 4283, 729230, 6346, 7852, 1230, 2833, 1237, 1234, 1232, 6348, 10563, 3627]
1	C-X-C chemokine receptor activity - GO:0016494	0.001	1.2203938207443157E-9	NaN	[2833, 3579, 643, 3577, 7852]
1	cellular response to molecule of bacterial origin - GO:0071219	0.001	1.521598249619051E-9	NaN	[4790, 6352, 4792, 4793, 5970, 7124, 6357, 79155, 1234, 3576, 6348, 6347, 3627]
1	positive regulation of monocyte chemotaxis - GO:0090026	0.001	3.743691039890448E-9	NaN	[6352, 729230, 6346, 6357, 1230, 3627]
1	cellular response to biotic stimulus - GO:0071216	0.001	5.6532735426607115E-9	NaN	[4790, 6352, 4792, 4793, 5970, 7124, 6357, 79155, 1234, 3576, 6348, 6347, 3627]
1	chemical homeostasis - GO:0048878	0.001	6.579607697293394E-9	NaN	[6373, 4283, 6352, 6355, 729230, 6354, 6346, 6357, 6356, 7852, 1230, 2833, 1237, 1234, 1232, 6359, 6348, 6358, 10563, 3627]
1	regulation of granulocyte chemotaxis - GO:0071622	0.001	7.19117735782509E-9	NaN	[2921, 2920, 6352, 5473, 6374, 6357, 3576, 2919]
1	regulation of monocyte chemotaxis - GO:0090025	0.001	1.5944099649101993E-8	NaN	[6352, 729230, 6346, 6357, 1230, 3627]
1	C-C chemokine binding - GO:0019957	0.001	2.484848985453001E-8	NaN	[1234, 2532, 1232, 7852, 1230]
1	I-kappaB kinase/NF-kappaB signaling - GO:0007249	0.001	4.038313213488518E-8	NaN	[4790, 4791, 4792, 7124, 10616, 5971, 8517, 5966, 79155]
1	positive regulation of cell communication - GO:0010647	0.001	1.2838077704724763E-7	NaN	[6351, 6373, 4790, 6352, 6355, 6354, 7124, 6357, 6356, 79155, 10616, 6348, 6347, 6369, 4283, 6361, 5970, 6346, 7852, 1230, 6360, 1326, 6359, 6358, 8517, 5966, 10344, 3627]
1	positive regulation of granulocyte chemotaxis - GO:0071624	0.001	1.3040672851598156E-7	NaN	[2921, 2920, 5473, 6374, 3576, 2919]
1	positive regulation of neutrophil migration - GO:1902624	0.001	1.9847234453365673E-7	NaN	[2921, 2920, 5473, 6374, 3576, 2919]
1	positive regulation of GTPase activity - GO:0043547	0.001	2.0999067037624239E-7	NaN	[6351, 6361, 6352, 6355, 6354, 6346, 6357, 6356, 6360, 6359, 6348, 6347, 6369, 6358, 10563, 10344]
1	positive regulation of calcium ion transport - GO:0051928	0.001	2.52522453344769E-7	NaN	[6351, 6373, 4283, 6352, 6348, 6347, 1230, 3627]
1	regulation of response to stimulus - GO:0048583	0.001	2.735268726306714E-7	NaN	[6351, 6373, 4790, 6352, 6374, 6355, 4792, 6354, 7124, 6357, 6356, 79155, 2921, 2920, 10616, 3576, 6348, 6347, 6369, 4283, 6361, 5473, 729230, 5970, 6346, 5971, 7852, 1230, 7291, 6360, 1326, 2113, 6359, 2919, 6358, 8517, 10563, 5966, 10344, 3627]
1	C-C chemokine receptor activity - GO:0016493	0.001	2.843806221472982E-7	NaN	[1237, 729230, 1234, 1232, 1230]
1	regulation of intracellular signal transduction - GO:1902531	0.001	3.2983747715856817E-7	NaN	[6351, 6373, 6352, 6355, 4792, 6354, 7124, 6357, 6356, 79155, 10616, 6348, 6347, 6369, 4283, 6361, 5970, 6346, 7852, 1230, 7291, 6360, 1326, 6359, 6358, 8517, 5966, 10344, 3627]
1	positive regulation of natural killer cell chemotaxis - GO:2000503	0.001	3.7887853374843714E-7	NaN	[6351, 6352, 6354, 6348]
1	positive regulation of phosphorus metabolic process - GO:0010562	0.001	9.287525089890632E-7	NaN	[6351, 6373, 4283, 6361, 6352, 6355, 6354, 7124, 6346, 6357, 6356, 7852, 1230, 6360, 1326, 6359, 6348, 6347, 6369, 6358, 8517, 10344, 3627]
1	macrophage migration - GO:1905517	0.001	1.1181498245842186E-6	NaN	[6352, 6357, 6348, 6347]
1	regulation of localization - GO:0032879	0.001	1.3816562311673271E-6	NaN	[6351, 6373, 4790, 6352, 6374, 4792, 6354, 7124, 6357, 4794, 6356, 2921, 2920, 1234, 10616, 3576, 6348, 6347, 6369, 4283, 5473, 729230, 6346, 1230, 7291, 2833, 2113, 2919, 10563, 10344, 3627]
1	cellular defense response - GO:0006968	0.001	1.4750271017597593E-6	NaN	[4283, 3579, 729230, 1234, 5970, 1232]
1	regulation of angiogenesis - GO:0045765	0.002000000019968104	3.244890156605363E-6	NaN	[729230, 6357, 3576, 2113, 1232, 6356, 6369, 10563, 7291, 3627]
1	cytokine binding - GO:0019955	0.00499999995007974	6.513283771823163E-6	NaN	[2833, 3579, 1234, 3577, 2532, 1232, 7852, 1230]
1	positive regulation of protein phosphorylation - GO:0001934	0.005999982725336439	8.064918815950979E-6	NaN	[6351, 6361, 6352, 6355, 6354, 7124, 6346, 6357, 6356, 7852, 1230, 6360, 1326, 6359, 6348, 6347, 6369, 6358, 8517, 10344]
1	regulation of vasculature development - GO:1901342	0.007000031591308968	8.517261866459183E-6	NaN	[729230, 6357, 3576, 2113, 1232, 6356, 6369, 10563, 7291, 3627]
1	regulation of T cell chemotaxis - GO:0010819	0.007000031591308968	8.968090867156047E-6	NaN	[6352, 729230, 10563, 3627]
1	regulation of signal transduction - GO:0009966	0.014999956513820394	1.48217676203944E-5	NaN	[6351, 6373, 4790, 6352, 6355, 4792, 6354, 7124, 6357, 6356, 79155, 10616, 3576, 6348, 6347, 6369, 4283, 6361, 5970, 6346, 7852, 1230, 7291, 6360, 1326, 6359, 6358, 8517, 10563, 5966, 10344, 3627]
1	positive regulation of phosphorylation - GO:0042327	0.014999956513820394	1.4952024500170547E-5	NaN	[6351, 6361, 6352, 6355, 6354, 7124, 6346, 6357, 6356, 7852, 1230, 6360, 1326, 6359, 6348, 6347, 6369, 6358, 8517, 10344]
1	regulation of phosphate metabolic process - GO:0019220	0.014999956513820394	1.5296779272301396E-5	NaN	[6351, 6373, 6352, 6355, 6354, 7124, 6357, 6356, 6348, 6347, 6369, 4283, 6361, 729230, 6346, 7852, 1230, 7291, 6360, 1326, 6359, 6358, 8517, 10344, 3627]
1	positive regulation of hydrolase activity - GO:0051345	0.020000000199681043	2.0601554903200112E-5	NaN	[6351, 6361, 6352, 6355, 6354, 7124, 6346, 6357, 6356, 6360, 6359, 6348, 6347, 6369, 6358, 10563, 10344]
1	positive regulation of NF-kappaB transcription factor activity - GO:0051092	0.03699985311728596	4.271692674763229E-5	NaN	[4790, 4791, 4792, 4793, 5970, 7124, 10616, 8517]
1	receptor regulator activity - GO:0030545	0.0499999995007974	5.768992840692839E-5	NaN	[6352, 6356, 6369, 10563, 10344]
